step,x,y,dx,dy,theta,gimbal,thr,rew
42,0.01998240770949343,-260,0,0,0.0021527030921659907,21.862687197436614,0.5333243012428284,-0.4998331023288251
43,0.021187071211517035,-260,0,0,0.0022828397697076904,20.581843065263953,0.7989531755447388,-0.4998345477657075
44,0.021648226403516196,-260,0,0,0.0023320865624075044,7.480295871430618,0.8163884878158569,-0.4998333435089977
45,0.02128089804243215,-260,0,0,0.002291659447773352,-10.313669839437544,0.4873013496398926,-0.4998314613124113
46,0.02163243692746048,-260,0,0,0.002329070455860408,6.25224740763334,0.741303026676178,-0.4998331145949729
47,0.022204888153781976,-260,0,0,0.0023904355224685114,9.771594035454022,0.7802117466926575,-0.49983390742171613
48,0.02381026384245428,-260,0,0,0.002564057704741295,27.51743779369875,0.810869038105011,-0.499836957618997
49,0.022295468048015295,-260,0,0,0.002398487745252763,-23.163789052936178,0.9081777334213257,-0.4998297884673424
50,0.021368055970525775,-260,0,0,0.0022968769594143676,-15.99031889857261,0.7958237528800964,-0.4998303945863438
51,0.021990765389894387,-260,0,0,0.0023635747148429477,9.089263983730213,0.9108837246894836,-0.4998338766473382
52,0.02040802520625152,-260,0,0,0.00219064955048941,-22.942391376217913,0.9570163488388062,-0.49982849528248197
53,0.02131857780414903,-260,0,0,0.0022887263586140274,14.157672678564666,0.8649905920028687,-0.499834040177882
54,0.021696381461395204,-260,0,0,0.0023291136105514677,7.974062461750133,0.6279992461204529,-0.4998332063324892
55,0.021541614628088054,-260,0,0,0.002311416775975412,-2.6758597107249296,0.8176354765892029,-0.4998320462953113
